Facility	Product_Category_Desc	Product_Category_Code	Product_Detail_Desc	Product_Detail_Code	Raw_Material_Description	Raw_Material_Code	Raw_Material_Percentage
SUZHOU YIYU TEXTILE TECHNOLOGY CO., LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.00
Fujian Tianheng Textile Technology Co., Ltd.	Dyed fibers	PC0033	Staple fibers	PD0079	Polyester -  Recycled Post-Consumer	RM0189	99.00
Suzhou Yizhiyuan New Material Company Limited 苏州衣之源新材料有限公司	Dyed yarns	PC0029	Normally combed yarns 	PD0102	Wool -  Responsible	RM0083	100.0
Suzhou Youlaisite Textile Co., Ltd. 苏州优莱斯特纺织有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100.0
Suzhou Yizhong Textile Technology Co., Ltd	Printed fabrics	PC0039	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	0
G & B Manufacturing (Myanmar) Co., Ltd	Women's apparel	PC0002	Overcoats, jackets, vests	PD0001	Polyester -  Recycled Post-Consumer	RM0189	100.0
G M Fabrics Pvt. Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	+1%-80%
Fujian Naqi Textile Technology Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	10
G&G YARN CO.,LTD	Dyed yarns	PC0029	Core-spun yarns	PD0071	Cotton - Non Certified	RM0102	20
Gabritex - Confeções Têxteis Lda	Women's apparel	PC0002	T-shirts, singlets	PD0007	Cotton - Organic	RM0104	55.0
G.T. Process	Women's apparel	PC0002	Dresses, skirts	PD0011	Cotton -  Recycled Pre-Consumer	RM0106	70.00
G.T. Process	Printed fabrics	PC0039	Knitted fabrics	PD0058	Cotton -  Recycled Pre-Consumer	RM0106	80
G.T. Process	Men's apparel	PC0001	Pants, trousers	PD0003	Cotton -  Recycled Pre-Consumer	RM0106	80.00
G.T. Process	Babies' apparel	PC0003	Babies' clothing	PD0013	Cotton - Organic	RM0104	93
Suzhou Varytex Co., Ltd. (main)	Men's apparel	PC0001	Pants, trousers	PD0003	Polyester -  Recycled Post-Consumer	RM0189	100
G.B.C. S.R.L.	Unisex denim apparel	PC0009	Undergarment, sleepwear, robes	PD0006	Polyester -  Recycled Pre-Consumer	RM0188	75
Suzhou Vastex Textile Technology Co., Ltd	Greige fabrics	PC0026	Knitted fabrics	PD0058	Cotton - Non Certified	RM0102	45
G.B.C. S.R.L.	Greige yarns	PC0030	Normally combed yarns 	PD0102	Elastane (spandex) - Non Certified	RM0160	8
Suzhou Veteran Environmental Technology Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	15
Suzhou Veteran Environmental Technology Co., Ltd. 苏州维艾若环保科技有限公司	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10.0
Suzhou Veteran Environmental Technology Co., Ltd. 苏州维艾若环保科技有限公司	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	23.0
Suzhou Vicno Textile Co., Ltd	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Vicno Textile Co., Ltd	Fabrics	PC0028	Special fabrics	PD0063	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	72
Suzhou Vicno Textile Co., Ltd	Greige fabrics	PC0026	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Vicno Textile Co., Ltd.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Vicno Textile Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Vicno Textile Co., Ltd.	Greige fabrics	PC0026	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	14
Suzhou Vicno Textile Co., Ltd.	Greige yarns	PC0030	Filament	PD0069	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xihe Textile Technology Co., LTD	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xihe Textile Technology Co., LTD	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	5
Suzhou Xihe Textile Technology Co., LTD	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xili Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	5
Suzhou Xihe Textile Technology Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Xihe Textile Technology Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Other - Non Certified	RM0262	10
Suzhou Xihui Textile Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
G&G YARN CO.,LTD	Greige yarns	PC0030	Normally combed yarns 	PD0102	Cotton - Organic	RM0104	100
Gabya Tekstil San. Tic. Ltd. Sti.	Women's apparel	PC0002	Activewear, sportswear	PD0008	Cotton - Non Certified	RM0102	74
Suzhou Varytex Co., Ltd.	Fabrics	PC0028	Special fabrics	PD0063	Polyester -  Recycled Post-Consumer	RM0189	90
Suzhou Varytex Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	75
Suzhou Unitedtex Enterprise Ltd. 苏州正雄企业发展有限公司	Printed fabrics	PC0039	Woven fabrics	PD0059	Modal - Non Certified	RM0230	80.0
Suzhou UltraTex Technology Co., Ltd.	Greige fabrics	PC0026	Knitted fabrics	PD0058	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Ganani Knits	Carried accessories	PC0011	Bags, handbags, totes, pouches	PD0024	Cotton - Organic	RM0104	100.0
SUZHOU UNIONSEED TEXTILE CO., LTD	Dyed fabrics	PC0025	Woven fabrics	PD0059	Cotton - Non Certified	RM0102	0
Suzhou Unitedtex Enterprise Ltd. 苏州正雄企业发展有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Acrylic - Non Certified	RM0156	30.0
Ganani Knits	Babies' apparel	PC0003	Babies' accessories	PD0014	Cotton - Organic	RM0104	95.0
GALAMODE	Women's apparel	PC0002	Dresses, skirts	PD0011	Elastane (spandex) - Non Certified	RM0160	4.0
GALAMODE	Men's apparel	PC0001	T-shirts, singlets	PD0007	Cotton - Organic	RM0104	80.00
Gala Nakliyat Tekstil İnşaat San. Ve Tic. Ltd. Şti.	Men's apparel	PC0001	T-shirts, singlets	PD0007	Cotton - Organic	RM0104	50.00
GAIN EAST PRINTING CO., LTD	Men's apparel	PC0001	T-shirts, singlets	PD0007	Polyester -  Recycled Post-Consumer	RM0189	100
G.M.S. PROCESSORS PRIVATE LIMITED	Women's apparel	PC0002	T-shirts, singlets	PD0007	Cotton -  Recycled Pre-Consumer	RM0106	42.00
Suzhou Uplus Textile Technology Co., Ltd	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	10
Suzhou Vanky Luxpackaging Co., Ltd.	Hard goods	PC0022	Other	PD0100	Polyethylene terephthalate (PET) -  Recycled Post-Consumer	RM0197	50
G.M.S. PROCESSORS PRIVATE LIMITED	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton -  Recycled Pre-Consumer	RM0106	60.00
Suzhou Uplus Textile Technology Co., Ltd	Greige fabrics	PC0026	Knitted fabrics	PD0058	Elastane (spandex) - Non Certified	RM0160	10
G.K.M Colours	Men's apparel	PC0001	Sweaters, pullovers, cardigans	PD0004	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU UPLUS TEXTILE TECHNOLOGY CO.,LTD.	Dyed fabrics	PC0025	Woven fabrics	PD0059	Elastane (spandex) - Non Certified	RM0160	10
G.K.M Colours	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Cotton -  Recycled Post-Consumer	RM0107	60
G.K.M Colours	Children's apparel	PC0004	T-shirts, singlets	PD0007	Cotton -  Recycled Pre-Consumer	RM0106	20
G.K.M Colours	Babies' apparel	PC0003	Babies' clothing	PD0013	Polyester -  Recycled Post-Consumer	RM0189	100
SUZHOU U-TEXTILE CO., LTD.	Fabrics	PC0028	Special fabrics	PD0063	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Valentina Textile Import And Export Co., Ltd.	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100
Suzhou Valentina Textile Import And Export Co., Ltd. 苏州瓦伦提纳纺织品进出口有限公司	Dyed fabrics	PC0025	Knitted fabrics	PD0058	Polyester -  Recycled Post-Consumer	RM0189	100.0
Suzhou Vanke Textile Co., Ltd	Functional accessories	PC0017	Other	PD0100	Polyamide (nylon) -  Recycled Pre-Consumer	RM0184	100
Suzhou Vanke Textile Co., Ltd	Worn accessories	PC0012	Belts	PD0031	Other - Non Certified	RM0262	15
SUZHOU XIN XU YUAN SPECIAL PACKING CO. LTD	Processed post-consumer materials	PC0035	Other	PD0100	Polyethylene -  Recycled Post-Consumer	RM0193	10
